title,release_date,popularity,original_language,overview,genre_ids,adult,poster_path
Pulp Fiction,1994-09-10,39.9514,en,"Jules y Vincent, dos asesinos a sueldo con muy pocas luces, trabajan para Marsellus Wallace. Vincent le confiesa a Jules que Marsellus le ha pedido que cuide de Mia, su mujer. Jules le recomienda prudencia porque es muy peligroso sobrepasarse con la novia del jefe. Cuando llega la hora de trabajar, ambos deben ponerse manos a la obra. Su misión: recuperar un misterioso maletín.","[53, 80, 35]",False,/hNcQAuquJxTxl2fJFs1R42DrWcf.jpg
Interstellar,2014-11-05,65.364,en,Un grupo de exploradores hacen uso de un agujero de gusano recientemente descubierto para superar las limitaciones de los viajes espaciales tripulados y vencer las inmensas distancias que tiene un viaje interestelar.,"[12, 18, 878]",False,/9cTfZWP5TfdnmAjiD6ZBXWIJ7O9.jpg
"El bueno, el feo y el malo",1966-12-23,23.0429,it,"Durante la Guerra de Secesión, tres cazadores de recompensas se lanzan a la búsqueda de un tesoro que ninguno de los tres truhanes puede localizar sin la ayuda de los otros dos. Tuco sabe que el tesoro se encuentra en un cementerio, mientras que Joe conoce el nombre inscrito en la tumba que lo esconde. Mientras tanto, Sentenza no duda en matar a mujeres y niños para conseguir su meta. De esta forma, los tres hombres colaboran en apariencia, pero al final intentarán eliminarse mutuamente.",[37],False,/71HKV5F9bfm05ZZnjGmRuFpUVCo.jpg
Forrest Gump,1994-06-23,27.7789,en,"Forrest Gump es un chico con deficiencias mentales no muy profundas y con alguna incapacidad motora que, a pesar de todo, llegará a convertirse, entre otras cosas, en un héroe durante la Guerra del Vietnam. Su persistencia y bondad le llevarán a conseguir una gran fortuna, ser objeto del clamor popular y a codearse con las más altas esferas sociales y políticas del país. Siempre sin olvidar a Jenny, su gran amor desde que era niño.","[35, 18, 10749]",False,/azV6hV99lYkdhydsQbJCI6FqMl4.jpg
Uno de los nuestros,1990-09-12,24.3152,en,"Henry, un niño de trece años de Brooklyn, vive fascinado con el mundo de los gángsters. Su sueño se hace realidad cuando entra a formar parte de la familia Pauline, dueña absoluta de la zona, que lo educan como un miembro más de la banda convirtiéndole en un destacado mafioso.","[18, 80]",False,/3Yy0zBO9AlyAZH1cTI8Ko2ouCi.jpg
Chainsaw Man - La película: El arco de Reze,2025-09-19,27.8489,ja,"Denji trabajaba como cazador de demonios para la yakuza, tratando de saldar la deuda que había heredado de sus padres, pero la yakuza lo traicionó y lo mató. Antes de perder el conocimiento, Pochita, el perro-demonio motosierra de Denji, hizo un trato con él y le salvó la vida. Así se fusionaron, creando al imparable Chainsaw Man. Ahora, en medio de una brutal guerra entre demonios, cazadores y enemigos secretos, una misteriosa chica llamada Reze irrumpe en su mundo y Denji se enfrenta a su batalla más mortífera, impulsado por el amor, en un mundo donde la supervivencia no conoce reglas.","[16, 28, 10749, 14]",False,/fJdnp5OO2wh07tdy6noACNyaqMJ.jpg
Los siete samuráis,1954-04-26,13.6471,ja,"Una banda de forajidos atemorizan a los habitantes de un pequeño pueblo, saqueándolos periódicamente sin piedad. Para repeler estos ataques, los aldeanos deciden contratar a mercenarios. Finalmente, consiguen los servicios de 7 guerreros, 7 samurais dispuestos a defenderlos a cambio, tan solo, de cobijo y comida.","[28, 18]",False,/zr4DkzWIMjaWtj6hlsbN6dnNeTX.jpg
La tumba de las luciérnagas,1988-04-16,0.0148,ja,"Verano de 1945. La aviación estadounidense somete las ciudades japonesas a continuos ataques aéreos. En uno de ellos, una incursión con bombas incendiarias convierte la ciudad de Kōbe en un infierno humeante, para los dos protagonistas (Seita, de 14 años, y su hermanita Setsuko, de 5). El joven Seita y su pequeña hermana Setsuko son hijos de un oficial de la marina japonesa. Durante la Segunda Guerra Mundial, ambos viven con su madre, pero un día, tras un bombardeo, ellos se retrasan y no consiguen llegar al búnker donde ella los espera.","[16, 18, 10752]",False,/juKTAn2AuoE9MvCNvf3kwZrt1t4.jpg
La vida es bella,1997-12-20,32.5029,it,"En 1939, a punto de estallar la Segunda Guerra Mundial (1939-1945), el extravagante Guido llega a Arezzo, en la Toscana, con la intención de abrir una librería. Allí conoce a la encantadora Dora y, a pesar de que es la prometida del fascista Rodolfo, se casa con ella y tiene un hijo. Al estallar la guerra, los tres son internados en un campo de exterminio, donde Guido hará lo imposible para hacer creer a su hijo que la terrible situación que están padeciendo es tan sólo un juego.","[35, 18]",False,/aZ7MFlKPfB02Lr9NwZQ4vsYRgcy.jpg
El club de la lucha,1999-10-15,48.489,en,"Un hombre consumido por el insomnio y una vida sin sentido conoce a Tyler Durden, un carismático anarquista que lo arrastra a un club secreto donde el dolor despierta algo dormido. Lo que comienza como liberación pronto se convierte en una guerra contra el sistema…","[18, 53]",False,/sgTAWJFaB2kBvdQxRGabYFiQqEK.jpg
Harakiri,1962-09-15,9.1068,ja,"Un samurái pide permiso para practicarse el Seppuku (o Harakiri), ceremonia durante la cual se quitará la vida abriéndose el estómago al tiempo que otro samurái lo decapitará. Solicita también poder contar la historia que le ha llevado a tomar tan trágica decisión.","[28, 18, 36]",False,/6Cw2LJzt6jRALHystjzWazeB4Pg.jpg
El señor de los anillos: La comunidad del anillo,2001-12-18,52.4361,en,"En la Tierra Media, el Señor Oscuro Saurón creó los Grandes Anillos de Poder, forjados por los herreros Elfos. Tres para los reyes Elfos, siete para los Señores Enanos, y nueve para los Hombres Mortales. Secretamente, Saurón también forjó un anillo maestro, el Anillo Único, que contiene en sí el poder para esclavizar a toda la Tierra Media. Con la ayuda de un grupo de amigos y de valientes aliados, Frodo emprende un peligroso viaje con la misión de destruir el Anillo Único. Pero el Señor Oscuro Sauron, quien creara el Anillo, envía a sus servidores para perseguir al grupo. Si Sauron lograra recuperar el Anillo, sería el final de la Tierra Media.","[12, 14, 28]",False,/9xtH1RmAzQ0rrMBNUMXstb2s3er.jpg
Cinema Paradiso,1988-11-17,29.9448,it,"En un pequeño pueblo siciliano durante los años previos a la llegada de la televisión (justo al finalizar la Segunda Guerra Mundial) el joven Toto vivía fascinado por el cine. Toto trata de entablar amistad con Alfredo, el proyeccionista del cine local, una persona muy irritable pero con un gran corazón. Todos estos hechos se presentan en forma de nostálgicos recuerdos de Toto que ha crecido hasta convertirse en un cineasta de éxito, y que revive a su infancia cuando recibe la noticia de que Alfredo ha muerto.","[18, 10749]",False,/hHwsr3t5n7VVUbPyU8VZswn0jkL.jpg
Ciudad de Dios,2002-08-30,13.2229,pt,"Basada en hechos reales, cuenta la historia del crecimiento del crimen organizado en los suburbios de la ciudad de Río de Janeiro, desde finales de los años sesenta hasta el comienzo de los ochenta, cuando el tráfico de drogas y la violencia impusieron su ley entre la miseria de las favelas.“Buscapé” tiene 11 años y es sólo un niño más en Cidade de Deus, un suburbio de Río de Janeiro. Tímido y delicado, observa a los niños duros de su barrio, sus robos, sus peleas, sus enfrentamientos diarios con la policía. Ya sabe lo que quiere ser si consigue sobrevivir: fotógrafo. “Dadinho”, un niño de su misma edad, se traslada al barrio. Sueña con ser el criminal más peligroso de Río de Janeiro y empieza su aprendizaje haciendo recados para los delincuentes locales. Dos vidas paralelas en Cidade de Deus.","[18, 80]",False,/zYjngc6yGUO1IEuAwk0yAhg8CKh.jpg
El señor de los anillos: Las dos torres,2002-12-18,41.6836,en,"La Compañía del Anillo se ha disuelto. El portador del anillo Frodo y su fiel amigo Sam se dirigen hacia Mordor para destruir el Anillo Único y acabar con el poder de Sauron. Mientras, y tras la dura batalla contra los orcos donde cayó Boromir, el hombre Aragorn, el elfo Legolas y el enano Gimli intentan rescatar a los medianos Merry y Pipin, secuestrados por los ogros de Mordor. Por su parte, Saurón y el traidor Sarumán continúan con sus planes en Mordor, en espera de la guerra contra las razas libres de la Tierra Media.","[12, 14, 28]",False,/up6gIHZlfEQZkHIfQwcOOaGOzOt.jpg
Psicosis,1960-06-22,18.7576,en,"Una joven secretaria, tras cometer un robo, se marcha de la ciudad y conduce durante horas, parando para descansar en un pequeño motel de carretera regentado por un joven llamado Norman. Todo parece normal y tranquilo en el apartado motel y en la casa de al lado en la que viven Norman y su madre pero, mientras está en la ducha, la joven es asesinada salvajemente a cuchilladas.","[27, 53, 9648]",False,/xFbnc2QPG5H5gYWsGbZT4q8Akya.jpg
O Auto da Compadecida,2000-09-15,6.2046,pt,"En el interior del estado de Paríba, en el pueblo de Taperoá, viven João Grilo y Chicó, dos tipos muy pobres que van anunciando por las calles la mejor película del mundo, 'La Pasión de Cristo'. La sesión tiene éxito y ellos ganan algo de dinero pero siguen luchando por la supervivencia. João Grilo y Chicó planean nuevas tretas para conseguir algún dinero y se enfrentan a numeroso desafíos provocando múltiples confusiones causadas por la astucia de João Grilo, siempre acompañado de Chicó.","[35, 18, 14, 10749]",False,/imcOp1kJsCsAFCoOtY5OnPrFbAf.jpg
Alguien voló sobre el nido del cuco,1975-11-19,14.1645,en,"Randle McMurphy (Jack Nicholson), un violador de espíritu libre, que vive contracorriente, es recluido en un hospital psiquiátrico. La inflexible disciplina del centro acentúa su contagiosa tendencia al desorden, que acabará desencadenando una guerra entre los pacientes y el personal de la clínica con la fría y severa enfermera Ratched (Louise Fletcher) a la cabeza. La suerte de cada paciente del pabellón está en juego.",[18],False,/lBYmCynNEPt7HVaJvuXgfHvLhbJ.jpg
So Won,2013-10-02,10.4424,ko,Una niña llamada So Won se convierte en víctima de la violencia. Su familia pasa por la desesperación y el dolor al intentar abrir otra puerta en su vida.,[18],False,/PZlNvDwKwHeHUsXnd6SEDXWZNn.jpg
Cosas imposibles,2021-06-17,4.8682,es,"La vida es tan curiosa e impredecible que, a veces, uno encuentra la felicidad donde menos lo espera. Matilde es una mujer que, tras la muerte de su esposo –un hombre que abusó de ella constantemente–, encuentra a su nuevo gran amigo en Miguel, su vecino joven, inseguro, desorientado y hasta dealer..","[10751, 18]",False,/eaf7GQj0ieOwm08rrvjJQNbN0kN.jpg
Spider-Man: un nuevo universo,2018-12-06,27.1664,en,"En un universo paralelo donde Peter Parker ha muerto, un joven de secundaria llamado Miles Morales es el nuevo Spider-Man. Sin embargo, cuando el líder mafioso Wilson Fisk construye el 'Super Colisionador' trae a una versión alternativa de Peter Parker que tratará de enseñar a Miles como ser un mejor Spider-Man. Pero no será el único Spider Man en entrar a este universo:  cuatro versiones alternativas buscan regresar a su universo antes de que toda la realidad se colapse.","[16, 28, 12, 878]",False,/xRMZikjAHNFebD1FLRqgDZeGV4a.jpg
El imperio contraataca,1980-05-20,22.8499,en,"Tras un ataque sorpresa de las tropas imperiales a las bases camufladas de la alianza rebelde, Luke Skywalker, en compañía de R2D2, parte hacia el planeta Dagobah en busca de Yoda, el último maestro Jedi, para que le enseñe los secretos de la Fuerza. Mientras, Han Solo, la princesa Leia, Chewbacca, y C3PO esquivan a las fuerzas imperiales y piden refugio al antiguo propietario del Halcón Milenario, Lando Calrissian, en la ciudad minera de Bespin, donde les prepara una trampa urdida por Darth Vader.","[12, 28, 878]",False,/eU7KcNAOeZj9PBIcGUMSsuJz8qj.jpg
A Silent Voice,2016-09-17,13.6537,ja,"Shōko, una niña con discapacidad auditiva, es víctima de acoso en su escuela, siendo Shōya su principal agresor. Cuando ella se cambia de colegio, él sufre el rechazo de sus compañeros y queda aislado. Años después, intenta enmendar su error y hacer las paces con Shōko.","[16, 18, 10749]",False,/hGQnljXpDGI429SC39LohaQBHhf.jpg
Un ángel en nuestras vidas,2020-10-19,9.7152,en,Las segundas oportunidades comienzan cuando un criminal endurecido se cruza con una niña precoz a la que un ángel ayuda a cambiar de corazón durante la temporada navideña.,"[18, 10751]",False,/f938pbdnA0rYQCkdB2RIKLluJpW.jpg
El castillo ambulante,2004-09-09,38.1596,ja,"Sophie, una joven sobre la que pesa una horrible maldición que le confiere el aspecto de una anciana, decide pedir ayuda al mago Howl, que vive en un castillo ambulante, pero tal vez sea Howl quien necesite la ayuda de Sophie.","[14, 16, 12]",False,/p8EARnEw8KPZzlZg3vkseYVMczu.jpg
Gabriel's Inferno,2020-05-29,4.4774,en,"El enigmático y atractivo profesor Gabriel Emerson, reconocido especialista en Dante, es un hombre torturado por su pasado y orgulloso del prestigio que ha conseguido, aunque también es consciente de que es un imán para el pecado y, en especial, para la lujuria.","[10749, 18]",False,/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg
Seven,1995-09-22,24.7099,en,"El teniente Somerset, del departamento de homicidios, está a punto de jubilarse y ser reemplazado por el ambicioso y brillante detective David Mills. Ambos tendrán que colaborar en la resolución de una serie de asesinatos cometidos por un psicópata que toma como base la relación de los siete pecados capitales: gula, pereza, soberbia, avaricia, envidia, lujuria e ira. Los cuerpos de las víctimas, sobre los que el asesino se ensaña de manera impúdica, se convertirán para los policías en un enigma que les obligará a viajar al horror y la barbarie más absoluta.","[80, 9648, 53]",False,/uVPcVz4b2hnSGrXYLdIGRXwcivs.jpg
Érase una vez en América,1984-05-23,14.8994,en,"David Aaronson ""Noodles"", un pobre joven judío, conoce en los suburbios de principios del siglo XX de Manhattan, Nueva York, a Maximilian Bercovicz ""Max"", otro joven de origen hebreo dispuesto a llegar lejos por cualquier método. Entablan una gran amistad y forman, con los 3 colegas de ""Noodles"", Patrick Goldberg ""Patsy"", Philip Stein ""Cockeye"", y Dominic una banda que prospera rápidamente. Desgraciadamente, son perseguidos por Bugsy, el tipo para el que Noodles y sus amigos trabajaban anteriormente, y en uno de sus asaltos, mata a Dominic. Rápidamente Noodles se tira encima suyo y le mata, por lo que pasará 12 años en prisión. Cuando Noodles sale de prisión le recibe Max, que sigue con su banda junto a los otros 2 amigos, Patsy y Cockeye. Rápidamente, entre los 4, llegan a convertirse, en tiempos de la prohibición, en unos de los mayores gánsteres de todo el país.","[18, 80]",False,/u4VnqaxINtKVscmdldZsBojU6jm.jpg
Whiplash,2014-10-10,25.4596,en,"El objetivo de Andrew Neiman, un joven y ambicioso baterista de jazz, es triunfar en el elitista Conservatorio de Música de la Costa Este en el que estudia. Marcado por el fracaso de la carrera literaria de su padre, Andrew alberga sueños de grandeza. Terence Fletcher, un profesor conocido tanto por su talento como por sus rigurosos métodos de enseñanza, dirige el mejor conjunto de jazz del Conservatorio. Cuando Fletcher elige a Andrew y para formar parte del conjunto musical que dirige, cambia para siempre la vida del joven. La pasión de Andrew por alcanzar la perfección se convierte en obsesión, al tiempo que su despiadado profesor lo lleva al límite de su capacidad y de su salud mental.","[18, 10402, 53]",False,/uy36CPy5ARuC8qrH8Esg2ndFyJ5.jpg
El pianista,2002-09-17,13.4269,en,"Varsovia, 1939. El pianista polaco de origen judío Wladyslaw Szpilman (Adrien Brody) interpreta un tema de Chopin en la radio nacional de Polonia mientras la aviación alemana bombardea la capital. El régimen nazi ha invadido el país, y como hace en otros países invadidos, lleva a cabo la misma política con respecto a los judíos. Así Szpilman y toda su familia -sus padres, su hermano y sus dos hermanas- se ven obligados a dejar su casa y todo lo que les pertenece para trasladarse con miles de personas de origen judío al ghetto de Varsovia. Mientras Wladyslaw trabaja como pianista en un restaurante propiedad de un judío que colabora con los nazis, su hermano Henryk (Ed Stoppard) prefiere luchar contra los nazis. Pero tres años más tarde, los habitantes del ghetto son trasladados en trenes hacia campos de concentración.","[18, 10752]",False,/mxfLOWnHnSlbdraKfzRn5mqoqk7.jpg
Origen,2010-07-15,59.6643,en,"Dom Cobb es un ladrón hábil, el mejor de todos, especializado en el peligroso arte de extracción: el robo de secretos valiosos desde las profundidades del subconsciente durante el estado de sueño cuando la mente está más vulnerable. Esta habilidad excepcional de Cobb le ha hecho un jugador codiciado en el traicionero nuevo mundo de espionaje corporativo, pero al mismo tiempo, le ha convertido en un fugitivo internacional y ha tenido que sacrificar todo que le importaba. Ahora a Cobb se le ofrece una oportunidad para redimirse. Con un último trabajo podría recuperar su vida anterior, pero solamente si logra lo imposible.","[28, 878, 12]",False,/tXQvtRWfkUUnWJAn2tN3jERIUG.jpg
El infierno del odio,1963-03-01,8.3677,ja,"En un momento crucial de su vida financiera, Gondo, un hombre de negocios, recibe la noticia de que su hijo ha sido secuestrado, y el rescate exigido es una cantidad de dinero similar a la que necesita para cerrar una importante negociación. Gondo está dispuesto a pagar el rescate hasta que comprende que los secuestradores se han equivocado y se han llevado al hijo del chófer. Ahora deberá decidir si el dinero es más importante que la vida del niño.","[18, 80, 53]",False,/9c87PSaPcoZzAGbJKQLAcYiqGRy.jpg
Gabriel's Inferno: Part II,2020-07-31,3.1764,en,"Basado en la novela más vendida de Sylvain Reynard, el profesor Gabriel Emerson se ha embarcado en un apasionado pero clandestino romance con su antigua alumna, Julia Mitchell.","[10749, 18]",False,/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg
La leyenda de Hei,2019-08-27,9.733,zh,"Durante generaciones, los humanos han creído que los demonios eran leyendas, sin saber que realmente coexisten con nosotros. Hei es un gato demonio que ha vivido siempre feliz en los bosques de las montañas, hasta que la expansión de la ciudad acaba destruyendo su propio hogar. En ese momento, Hei comienza a vagar por el mundo buscando un nuevo lugar en el que cobijarse.  Una película precuela de la serie web Luo Xiao Hei Zhan Ji. Los espectadores descubrirán cómo Xiao Hei obtuvo el apellido Luo. También se espera que el episodio 28 de la serie sea lanzado justo antes de que la película se transmita en los cines después de un paréntesis de 2 años.","[16, 14, 28]",False,/ogqmdo6Vuofr1FkDQgwB1PHw4ZC.jpg
El silencio de los corderos,1991-02-14,8.6066,en,"Clarice Starling, del FBI, se aventura a una prisión de máxima seguridad para analizar el cerebro enfermo de Hannibal Lecter, un psiquiatra convertido en caníbal.","[80, 53, 18]",False,/8FdQQ3cUCs9goEOr1qUFaHackoJ.jpg
The Punisher: One Last Kill,2026-05-12,99.8665,en,"Mientras Frank Castle busca propósito más allá de la venganza, una fuerza inesperada lo arrastra de nuevo a la lucha.","[28, 18, 80]",False,/p1eqHRxfIxfgtDgfjWcpEESeEvF.jpg
Mensajes de voz para Isabelle,2026-06-20,130.168,en,"Una joven deja mensajes de voz bastante explícitos a su difunta hermana, sin saber que los recibe un desconocido que comienza a enamorarse de ella.","[10749, 35]",False,/3nY9BG8VjuxwLLRx5BGiiuj0M71.jpg
La ventana indiscreta,1954-08-01,10.4834,en,"Un reportero fotográfico se ve obligado a permanecer en reposo con una pierna escayolada. A pesar de la compañía de su novia y de su enfermera, procura escapar al tedio, observando desde la ventana de su apartamento con unos prismáticos lo que ocurre en las viviendas de enfrente. Debido a una serie de extrañas circunstancias empieza a sospechar de un vecino cuya mujer ha desaparecido.","[53, 9648, 18]",False,/fH1MipE8PXGg0rlI5cUdzxKnyA2.jpg
Spider-Man: Cruzando el Multiverso,2023-05-31,30.3915,en,"Tras reencontrarse con Gwen Stacy, el amigable vecindario de Spider-Man de Brooklyn al completo es catapultado a través del Multiverso, donde se encuentra con un equipo de Spidermans encargados de proteger su propia existencia. Pero cuando los héroes se enfrentan sobre cómo manejar una nueva amenaza, Miles se encuentra enfrentado a las otras Arañas y debe redefinir lo que significa ser un héroe para poder salvar a la gente que más quiere.","[16, 28, 12, 878]",False,/37WcNMgNOMxdhT87MFl7tq7FM1.jpg
Radical,2023-10-19,5.3539,es,"En una ciudad fronteriza mexicana plagada de abandono, corrupción y violencia, un profesor frustrado prueba un nuevo método radical para romper la apatía de sus alumnos y desbloquear su curiosidad, su potencial... y puede que incluso su genialidad. Basada en una historia real.",[18],False,/eSatbygYZp8ooprBHZdb6GFZxGB.jpg
